,Ticker,Metric,T-Statistic,P-Value
1,ABBN.SW,Net Profit Margin (%),1.2158146808181407,0.25871191564516227
4,ACS.MC,Net Profit Margin (%),0.7260407696071747,0.4885079687159245
7,AI.PA,Net Profit Margin (%),-1.089406215656974,0.30769955071215255
10,ALV.DE,Net Profit Margin (%),0.3898628070509113,0.7068121001066056
13,ASML.AS,Net Profit Margin (%),2.0271889229243385,0.07719312263510253
16,AZN.L,Net Profit Margin (%),0.1264577276252167,0.9024901284799716
19,BBVA.MC,Net Profit Margin (%),1.3421244653162892,0.21639724021962137
22,BEI.DE,Net Profit Margin (%),0.32730199472269705,0.751839743785583
25,BN.PA,Net Profit Margin (%),1.4858181343857704,0.17563272724942677
28,CS.PA,Net Profit Margin (%),-0.24791997552821624,0.8104412214240863
31,DHL.DE,Net Profit Margin (%),2.2244313227255046,0.05678819050834428
34,DTE.DE,Net Profit Margin (%),0.7738149794582382,0.4612927683958229
37,IBE.MC,Net Profit Margin (%),2.7545976420175795,0.024881546554368444
40,ISP.MI,Net Profit Margin (%),2.1708674379557547,0.06173500776050143
43,MC.PA,Net Profit Margin (%),0.15596993541158716,0.8799206178401222
46,MUV2.DE,Net Profit Margin (%),-3.0356894679938633,0.016168904363417832
49,NOVN.SW,Net Profit Margin (%),-0.22109815849483114,0.830554790201161
52,NOVO B,Net Profit Margin (%),2.969822847322571,0.017875979640514156
55,OR.PA,Net Profit Margin (%),1.1751988415280517,0.2737045548676277
58,RMS.PA,Net Profit Margin (%),1.8845594994836863,0.09622820096638222
61,ROG.PA,Net Profit Margin (%),-0.14111004843245473,0.8912715515180254
64,SAN.PA,Net Profit Margin (%),1.1074705987385183,0.3002745931467097
67,SAP.DE,Net Profit Margin (%),-0.9015638329232202,0.3936211445317146
70,SCMN.SW,Net Profit Margin (%),-3.796949432096349,0.005259470929035297
73,SIE.DE,Net Profit Margin (%),0.7174669238852938,0.4963243815556425
76,SU.PA,Net Profit Margin (%),2.207523296468737,0.058305800699069724
79,TRN.MI,Net Profit Margin (%),3.5778742225542897,0.007210541236266847
82,TTE.PA,Net Profit Margin (%),0.4383099792352219,0.672756370234191
85,UCG.MI,Net Profit Margin (%),0.7858582548302534,0.4545945562491118
88,WKL.AS,Net Profit Margin (%),2.964948905301458,0.01800953830613617
