,Ticker,Metric,T-Statistic,P-Value
0,ABBN.SW,ROE (%),0.9506898602277859,0.36959545966125584
3,ACS.MC,ROE (%),0.3582672993770302,0.7294129836197215
6,AI.PA,ROE (%),-4.670116996800755,0.001602274050609493
9,ALV.DE,ROE (%),-0.3979211839823083,0.7010958587950678
12,ASML.AS,ROE (%),1.3780405282645751,0.20550314246159898
15,AZN.L,ROE (%),0.5147442641041069,0.6206476517070025
18,BBVA.MC,ROE (%),1.4119906193322351,0.19564626854523148
21,BEI.DE,ROE (%),-2.602740481426875,0.03148344130817523
24,BN.PA,ROE (%),0.43938076833072987,0.6720122937690871
27,CS.PA,ROE (%),-0.4310966497728127,0.6777787779839546
30,DHL.DE,ROE (%),0.8938418535111405,0.39749872978445
33,DTE.DE,ROE (%),0.16279931542327347,0.8747136195061872
36,IBE.MC,ROE (%),1.4248012784992445,0.19203575660330596
39,ISP.MI,ROE (%),1.0036834720717587,0.3449198220805505
42,MC.PA,ROE (%),0.455819354460074,0.6606380169449398
45,MUV2.DE,ROE (%),-1.6116998846676551,0.14569252344262537
48,NOVN.SW,ROE (%),0.04118267634995104,0.9681595237757965
51,NOVO B,ROE (%),1.1555306610971292,0.2812162310954873
54,OR.PA,ROE (%),0.8056607887705812,0.44372412638412484
57,RMS.PA,ROE (%),-1.224646887438496,0.2555431233137098
60,ROG.PA,ROE (%),-1.6409767799753239,0.13943064549314257
63,SAN.PA,ROE (%),1.1387230002788904,0.2877672121873408
66,SAP.DE,ROE (%),-1.5261605867257975,0.16548380130973636
69,SCMN.SW,ROE (%),-4.73059685550616,0.0014817868019550368
72,SIE.DE,ROE (%),-2.572989056186856,0.03684695264122382
75,SU.PA,ROE (%),1.2412824620755631,0.2496622518706385
78,TRN.MI,ROE (%),-0.8618139803158422,0.41387472276609694
81,TTE.PA,ROE (%),0.2820914927130194,0.7850335518476566
84,UCG.MI,ROE (%),0.6268671900082221,0.5482138995255814
87,WKL.AS,ROE (%),2.124100116506341,0.06640006096199422
