,Ticker,Metric,T-Statistic,P-Value
2,ABBN.SW,Revenue Growth (%),0.15262923300900125,0.8824699892781757
5,ACS.MC,Revenue Growth (%),1.1162399895788917,0.2967219351460886
8,AI.PA,Revenue Growth (%),1.9258949449978118,0.09029077116914971
11,ALV.DE,Revenue Growth (%),0.46021062916534444,0.6576152334415033
14,ASML.AS,Revenue Growth (%),1.316600455441368,0.22443807976985292
17,AZN.L,Revenue Growth (%),1.37284042812969,0.2070504406735163
20,BBVA.MC,Revenue Growth (%),0.9555497960336676,0.3672789629013185
23,BEI.DE,Revenue Growth (%),0.9852631625134525,0.35335142170878264
26,BN.PA,Revenue Growth (%),0.9348826337462965,0.3772050266393496
29,CS.PA,Revenue Growth (%),1.447151602449151,0.18587665937260167
32,DHL.DE,Revenue Growth (%),1.0878293715374174,0.3083545211448111
35,DTE.DE,Revenue Growth (%),0.8534455750661668,0.4182313380342224
38,IBE.MC,Revenue Growth (%),1.85173478579067,0.10120682171771685
41,ISP.MI,Revenue Growth (%),0.6372203619108436,0.5417833987200953
44,MC.PA,Revenue Growth (%),0.7955714900837096,0.44924024673718876
47,MUV2.DE,Revenue Growth (%),1.9472434328829056,0.08736344810014224
50,NOVN.SW,Revenue Growth (%),0.4420015174138763,0.6701927950205591
53,NOVO B,Revenue Growth (%),0.16216968396215561,0.8751934087755214
56,OR.PA,Revenue Growth (%),0.965175292312751,0.36272293365728064
59,RMS.PA,Revenue Growth (%),0.7128189446100832,0.49622011868610083
62,ROG.PA,Revenue Growth (%),0.4027926022898913,0.6976500677524082
65,SAN.PA,Revenue Growth (%),2.3837080015005694,0.04428861990556613
68,SAP.DE,Revenue Growth (%),0.3287114282406716,0.750813288693942
71,SCMN.SW,Revenue Growth (%),-0.2682373712892045,0.7953035174267336
74,SIE.DE,Revenue Growth (%),0.5532019709839318,0.5973414006719757
77,SU.PA,Revenue Growth (%),0.6889408925041292,0.5103433670122377
80,TRN.MI,Revenue Growth (%),0.7870499090114493,0.4539353620369432
83,TTE.PA,Revenue Growth (%),1.4065441140548478,0.19719921946868343
86,UCG.MI,Revenue Growth (%),1.6097418303355844,0.14612036720167437
89,WKL.AS,Revenue Growth (%),1.368537957527301,0.2083382737904472
